time,open,close,high,low,volume
2024-03-01 09:30:00,14.3,14.3,14.3,14.3,55.0
2024-03-01 09:31:00,14.31,14.38,14.4,14.24,866.0
2024-03-01 09:32:00,14.36,14.26,14.36,14.2,384.0
2024-03-01 09:33:00,14.21,14.17,14.23,14.16,189.0
2024-03-01 09:34:00,14.16,14.25,14.27,14.16,198.0
2024-03-01 09:35:00,14.25,14.32,14.33,14.25,106.0
2024-03-01 09:36:00,14.33,14.24,14.34,14.24,294.0
2024-03-01 09:37:00,14.24,14.17,14.24,14.16,107.0
2024-03-01 09:38:00,14.17,14.26,14.27,14.17,239.0
2024-03-01 09:39:00,14.26,14.26,14.26,14.23,411.0
2024-03-01 09:40:00,14.26,14.29,14.29,14.25,173.0
2024-03-01 09:41:00,14.29,14.35,14.35,14.29,216.0
2024-03-01 09:42:00,14.34,14.2,14.34,14.2,363.0
2024-03-01 09:43:00,14.2,14.16,14.2,14.16,297.0
2024-03-01 09:44:00,14.16,14.09,14.16,14.09,442.0
2024-03-01 09:45:00,14.09,14.11,14.11,14.08,119.0
2024-03-01 09:46:00,14.11,14.08,14.15,14.08,563.0
2024-03-01 09:47:00,14.08,14.17,14.17,14.08,533.0
2024-03-01 09:48:00,14.18,14.2,14.2,14.15,174.0
2024-03-01 09:49:00,14.2,14.16,14.2,14.16,124.0
2024-03-01 09:50:00,14.16,14.12,14.16,14.11,138.0
2024-03-01 09:51:00,14.12,14.09,14.12,14.08,256.0
2024-03-01 09:52:00,14.09,14.1,14.11,14.09,312.0
2024-03-01 09:53:00,14.1,14.08,14.1,14.08,62.0
2024-03-01 09:54:00,14.08,14.1,14.13,14.08,122.0
2024-03-01 09:55:00,14.1,14.14,14.15,14.1,41.0
2024-03-01 09:56:00,14.14,14.2,14.2,14.14,245.0
2024-03-01 09:57:00,14.2,14.2,14.2,14.17,128.0
2024-03-01 09:58:00,14.19,14.18,14.2,14.17,114.0
2024-03-01 09:59:00,14.18,14.24,14.24,14.17,296.0
2024-03-01 10:00:00,14.23,14.25,14.25,14.19,96.0
2024-03-01 10:01:00,14.25,14.21,14.26,14.19,209.0
2024-03-01 10:02:00,14.24,14.21,14.24,14.21,97.0
2024-03-01 10:03:00,14.2,14.23,14.23,14.2,191.0
2024-03-01 10:04:00,14.23,14.24,14.24,14.23,30.0
2024-03-01 10:05:00,14.24,14.24,14.25,14.24,57.0
2024-03-01 10:06:00,14.23,14.2,14.23,14.2,48.0
2024-03-01 10:07:00,14.19,14.16,14.19,14.16,76.0
2024-03-01 10:08:00,14.16,14.15,14.16,14.13,108.0
2024-03-01 10:09:00,14.15,14.18,14.19,14.15,117.0
2024-03-01 10:10:00,14.18,14.16,14.18,14.15,77.0
2024-03-01 10:11:00,14.16,14.15,14.16,14.15,51.0
2024-03-01 10:12:00,14.15,14.14,14.15,14.14,58.0
2024-03-01 10:13:00,14.13,14.11,14.13,14.11,44.0
2024-03-01 10:14:00,14.11,14.1,14.11,14.09,136.0
2024-03-01 10:15:00,14.1,14.15,14.15,14.1,34.0
2024-03-01 10:16:00,14.15,14.16,14.16,14.15,68.0
2024-03-01 10:17:00,14.16,14.14,14.16,14.13,140.0
2024-03-01 10:18:00,14.13,14.14,14.17,14.13,142.0
2024-03-01 10:19:00,14.14,14.14,14.14,14.14,0.0
2024-03-01 10:20:00,14.14,14.16,14.17,14.14,122.0
2024-03-01 10:21:00,14.16,14.16,14.18,14.16,38.0
2024-03-01 10:22:00,14.18,14.19,14.19,14.17,96.0
2024-03-01 10:23:00,14.19,14.19,14.19,14.19,11.0
2024-03-01 10:24:00,14.19,14.19,14.19,14.18,54.0
2024-03-01 10:25:00,14.19,14.23,14.23,14.19,135.0
2024-03-01 10:26:00,14.23,14.22,14.23,14.21,119.0
2024-03-01 10:27:00,14.22,14.19,14.22,14.19,21.0
2024-03-01 10:28:00,14.19,14.19,14.19,14.17,45.0
2024-03-01 10:29:00,14.19,14.2,14.2,14.19,45.0
2024-03-01 10:30:00,14.19,14.16,14.2,14.16,74.0
2024-03-01 10:31:00,14.16,14.18,14.19,14.16,329.0
2024-03-01 10:32:00,14.18,14.17,14.19,14.17,109.0
2024-03-01 10:33:00,14.16,14.12,14.16,14.12,319.0
2024-03-01 10:34:00,14.12,14.11,14.13,14.11,336.0
2024-03-01 10:35:00,14.11,14.11,14.11,14.07,628.0
2024-03-01 10:36:00,14.11,14.09,14.12,13.93,1335.0
2024-03-01 10:37:00,14.09,14.05,14.09,14.05,120.0
2024-03-01 10:38:00,14.05,14.03,14.05,14.02,205.0
2024-03-01 10:39:00,14.03,13.97,14.03,13.97,524.0
2024-03-01 10:40:00,13.97,14.01,14.01,13.97,60.0
2024-03-01 10:41:00,14.01,14.03,14.03,14.01,32.0
2024-03-01 10:42:00,14.03,14.05,14.05,14.03,25.0
2024-03-01 10:43:00,14.05,14.06,14.09,14.05,18.0
2024-03-01 10:44:00,14.06,14.06,14.06,14.06,0.0
2024-03-01 10:45:00,14.09,14.09,14.09,14.09,7.0
2024-03-01 10:46:00,14.09,14.09,14.09,14.09,73.0
2024-03-01 10:47:00,14.09,14.1,14.12,14.09,55.0
2024-03-01 10:48:00,14.1,14.1,14.1,14.1,57.0
