time,open,close,high,low,volume
2024-03-12 09:30:00,43.5,43.5,43.5,43.5,30.0
2024-03-12 09:31:00,43.59,43.58,43.9,43.46,141.0
2024-03-12 09:32:00,43.54,43.7,43.7,43.54,84.0
2024-03-12 09:33:00,43.78,43.57,43.78,43.56,170.0
2024-03-12 09:34:00,43.59,43.46,43.6,43.43,126.0
2024-03-12 09:35:00,43.46,43.38,43.54,43.38,145.0
2024-03-12 09:36:00,43.38,43.54,43.64,43.38,80.0
2024-03-12 09:37:00,43.54,43.49,43.56,43.49,143.0
2024-03-12 09:38:00,43.49,43.4,43.56,43.4,54.0
2024-03-12 09:39:00,43.39,43.2,43.4,43.2,189.0
2024-03-12 09:40:00,43.2,43.16,43.26,43.16,168.0
2024-03-12 09:41:00,43.16,43.12,43.16,43.11,117.0
2024-03-12 09:42:00,43.15,43.24,43.28,43.15,49.0
2024-03-12 09:43:00,43.24,43.23,43.24,43.23,29.0
2024-03-12 09:44:00,43.23,43.2,43.26,43.2,55.0
2024-03-12 09:45:00,43.2,43.27,43.28,43.19,24.0
2024-03-12 09:46:00,43.3,43.24,43.39,43.24,21.0
2024-03-12 09:47:00,43.24,43.24,43.24,43.24,7.0
2024-03-12 09:48:00,43.24,43.17,43.25,43.17,122.0
2024-03-12 09:49:00,43.17,43.07,43.17,43.07,184.0
2024-03-12 09:50:00,43.07,43.08,43.11,42.97,330.0
2024-03-12 09:51:00,43.08,43.22,43.25,43.08,88.0
2024-03-12 09:52:00,43.22,43.16,43.22,43.12,21.0
2024-03-12 09:53:00,43.16,43.1,43.16,43.1,74.0
2024-03-12 09:54:00,43.11,43.16,43.16,43.11,34.0
2024-03-12 09:55:00,43.22,43.19,43.22,43.12,19.0
2024-03-12 09:56:00,43.19,43.11,43.2,43.1,69.0
2024-03-12 09:57:00,43.14,43.19,43.19,43.09,58.0
2024-03-12 09:58:00,43.22,43.21,43.22,43.21,11.0
2024-03-12 09:59:00,43.21,43.2,43.21,43.15,4.0
2024-03-12 10:00:00,43.2,43.25,43.25,43.15,45.0
2024-03-12 10:01:00,43.25,43.23,43.28,43.2,105.0
2024-03-12 10:02:00,43.2,43.14,43.21,43.14,37.0
2024-03-12 10:03:00,43.14,43.14,43.2,43.14,21.0
2024-03-12 10:04:00,43.14,43.25,43.25,43.14,42.0
2024-03-12 10:05:00,43.25,43.26,43.29,43.25,14.0
2024-03-12 10:06:00,43.26,43.24,43.26,43.24,17.0
2024-03-12 10:07:00,43.24,43.17,43.24,43.17,5.0
2024-03-12 10:08:00,43.17,43.17,43.17,43.17,0.0
2024-03-12 10:09:00,43.17,43.27,43.27,43.17,6.0
