time,open,close,high,low,volume
2024-03-08 09:30:00,9.64,9.64,9.64,9.64,3072.0
2024-03-08 09:31:00,9.7,9.84,9.87,9.7,6427.0
2024-03-08 09:32:00,9.84,9.75,9.84,9.68,2852.0
2024-03-08 09:33:00,9.76,9.79,9.8,9.76,4231.0
2024-03-08 09:34:00,9.79,9.66,9.8,9.66,3705.0
2024-03-08 09:35:00,9.66,9.57,9.67,9.57,8742.0
2024-03-08 09:36:00,9.57,9.61,9.61,9.56,2351.0
2024-03-08 09:37:00,9.61,9.68,9.68,9.61,1820.0
2024-03-08 09:38:00,9.68,9.67,9.7,9.67,1779.0
2024-03-08 09:39:00,9.67,9.69,9.69,9.65,1385.0
2024-03-08 09:40:00,9.7,9.79,9.79,9.7,2090.0
2024-03-08 09:41:00,9.79,9.7,9.79,9.7,1184.0
2024-03-08 09:42:00,9.69,9.74,9.74,9.67,758.0
2024-03-08 09:43:00,9.75,9.73,9.75,9.71,700.0
2024-03-08 09:44:00,9.74,9.79,9.8,9.74,1419.0
2024-03-08 09:45:00,9.79,9.76,9.79,9.76,754.0
2024-03-08 09:46:00,9.75,9.71,9.76,9.7,1211.0
2024-03-08 09:47:00,9.71,9.75,9.75,9.71,502.0
2024-03-08 09:48:00,9.77,9.78,9.78,9.77,691.0
2024-03-08 09:49:00,9.79,9.74,9.79,9.74,461.0
2024-03-08 09:50:00,9.74,9.73,9.75,9.73,511.0
2024-03-08 09:51:00,9.73,9.74,9.76,9.73,558.0
2024-03-08 09:52:00,9.74,9.77,9.77,9.74,302.0
2024-03-08 09:53:00,9.77,9.76,9.77,9.75,658.0
2024-03-08 09:54:00,9.77,9.78,9.78,9.76,597.0
2024-03-08 09:55:00,9.78,9.79,9.79,9.77,502.0
2024-03-08 09:56:00,9.79,9.75,9.79,9.75,612.0
2024-03-08 09:57:00,9.76,9.74,9.76,9.74,619.0
2024-03-08 09:58:00,9.75,9.74,9.76,9.74,439.0
2024-03-08 09:59:00,9.74,9.72,9.74,9.72,520.0
2024-03-08 10:00:00,9.72,9.71,9.73,9.71,500.0
2024-03-08 10:01:00,9.71,9.72,9.73,9.71,876.0
2024-03-08 10:02:00,9.72,9.76,9.76,9.72,546.0
2024-03-08 10:03:00,9.75,9.73,9.75,9.73,200.0
2024-03-08 10:04:00,9.72,9.7,9.72,9.7,1473.0
2024-03-08 10:05:00,9.69,9.66,9.69,9.66,1178.0
2024-03-08 10:06:00,9.66,9.68,9.68,9.66,566.0
2024-03-08 10:07:00,9.68,9.66,9.68,9.66,436.0
2024-03-08 10:08:00,9.66,9.67,9.68,9.66,584.0
2024-03-08 10:09:00,9.67,9.67,9.68,9.66,426.0
2024-03-08 10:10:00,9.66,9.67,9.67,9.66,486.0
2024-03-08 10:11:00,9.67,9.65,9.67,9.65,1491.0
2024-03-08 10:12:00,9.65,9.6,9.65,9.6,1113.0
2024-03-08 10:13:00,9.6,9.62,9.63,9.6,680.0
2024-03-08 10:14:00,9.62,9.63,9.66,9.62,895.0
2024-03-08 10:15:00,9.63,9.65,9.66,9.63,399.0
2024-03-08 10:16:00,9.65,9.68,9.68,9.65,279.0
2024-03-08 10:17:00,9.69,9.7,9.7,9.68,469.0
2024-03-08 10:18:00,9.7,9.68,9.7,9.68,419.0
2024-03-08 10:19:00,9.68,9.67,9.68,9.66,331.0
2024-03-08 10:20:00,9.68,9.67,9.69,9.67,291.0
2024-03-08 10:21:00,9.67,9.65,9.67,9.65,442.0
2024-03-08 10:22:00,9.65,9.61,9.65,9.61,1192.0
2024-03-08 10:23:00,9.61,9.62,9.62,9.6,459.0
2024-03-08 10:24:00,9.64,9.64,9.64,9.62,484.0
2024-03-08 10:25:00,9.64,9.64,9.65,9.64,230.0
2024-03-08 10:26:00,9.64,9.64,9.65,9.62,724.0
2024-03-08 10:27:00,9.64,9.65,9.65,9.64,554.0
2024-03-08 10:28:00,9.65,9.68,9.68,9.65,337.0
2024-03-08 10:29:00,9.69,9.67,9.69,9.67,520.0
2024-03-08 10:30:00,9.67,9.67,9.68,9.66,324.0
2024-03-08 10:31:00,9.67,9.66,9.69,9.66,367.0
2024-03-08 10:32:00,9.66,9.68,9.68,9.66,136.0
2024-03-08 10:33:00,9.68,9.68,9.69,9.67,186.0
2024-03-08 10:34:00,9.68,9.66,9.68,9.66,238.0
2024-03-08 10:35:00,9.66,9.68,9.68,9.66,252.0
2024-03-08 10:36:00,9.68,9.65,9.68,9.65,465.0
2024-03-08 10:37:00,9.65,9.62,9.67,9.62,718.0
2024-03-08 10:38:00,9.62,9.61,9.62,9.61,316.0
2024-03-08 10:39:00,9.62,9.64,9.64,9.61,162.0
2024-03-08 10:40:00,9.65,9.65,9.65,9.64,183.0
2024-03-08 10:41:00,9.65,9.66,9.66,9.65,91.0
2024-03-08 10:42:00,9.66,9.66,9.66,9.65,98.0
2024-03-08 10:43:00,9.66,9.65,9.66,9.65,415.0
2024-03-08 10:44:00,9.65,9.65,9.66,9.64,141.0
2024-03-08 10:45:00,9.66,9.64,9.66,9.63,494.0
2024-03-08 10:46:00,9.64,9.62,9.64,9.62,404.0
2024-03-08 10:47:00,9.62,9.62,9.63,9.61,266.0
2024-03-08 10:48:00,9.62,9.63,9.63,9.62,262.0
2024-03-08 10:49:00,9.63,9.64,9.64,9.62,142.0
2024-03-08 10:50:00,9.63,9.63,9.63,9.63,191.0
2024-03-08 10:51:00,9.63,9.62,9.63,9.62,201.0
2024-03-08 10:52:00,9.63,9.64,9.64,9.62,362.0
2024-03-08 10:53:00,9.64,9.64,9.65,9.64,115.0
2024-03-08 10:54:00,9.64,9.65,9.65,9.64,236.0
2024-03-08 10:55:00,9.64,9.64,9.65,9.64,327.0
2024-03-08 10:56:00,9.64,9.65,9.65,9.63,86.0
2024-03-08 10:57:00,9.65,9.64,9.65,9.64,283.0
2024-03-08 10:58:00,9.64,9.64,9.64,9.64,95.0
2024-03-08 10:59:00,9.64,9.64,9.65,9.64,139.0
2024-03-08 11:00:00,9.63,9.64,9.64,9.63,163.0
2024-03-08 11:01:00,9.64,9.64,9.64,9.63,445.0
2024-03-08 11:02:00,9.64,9.63,9.65,9.63,464.0
2024-03-08 11:03:00,9.63,9.63,9.64,9.63,84.0
2024-03-08 11:04:00,9.63,9.63,9.64,9.63,120.0
2024-03-08 11:05:00,9.63,9.62,9.63,9.62,233.0
2024-03-08 11:06:00,9.62,9.61,9.63,9.61,345.0
2024-03-08 11:07:00,9.62,9.61,9.62,9.61,309.0
2024-03-08 11:08:00,9.61,9.62,9.62,9.61,228.0
2024-03-08 11:09:00,9.62,9.61,9.62,9.61,326.0
2024-03-08 11:10:00,9.61,9.61,9.62,9.61,183.0
2024-03-08 11:11:00,9.62,9.62,9.62,9.61,331.0
2024-03-08 11:12:00,9.62,9.62,9.62,9.61,235.0
2024-03-08 11:13:00,9.62,9.61,9.62,9.61,282.0
2024-03-08 11:14:00,9.62,9.62,9.62,9.61,251.0
2024-03-08 11:15:00,9.62,9.63,9.63,9.62,545.0
2024-03-08 11:16:00,9.63,9.64,9.65,9.63,405.0
2024-03-08 11:17:00,9.63,9.64,9.64,9.63,107.0
2024-03-08 11:18:00,9.64,9.64,9.64,9.63,431.0
2024-03-08 11:19:00,9.64,9.65,9.65,9.64,227.0
2024-03-08 11:20:00,9.65,9.67,9.67,9.65,280.0
2024-03-08 11:21:00,9.67,9.68,9.69,9.67,245.0
2024-03-08 11:22:00,9.68,9.69,9.69,9.67,720.0
2024-03-08 11:23:00,9.68,9.68,9.68,9.67,241.0
2024-03-08 11:24:00,9.68,9.67,9.68,9.66,49.0
2024-03-08 11:25:00,9.67,9.66,9.67,9.66,169.0
2024-03-08 11:26:00,9.65,9.66,9.66,9.65,125.0
2024-03-08 11:27:00,9.66,9.67,9.67,9.66,184.0
2024-03-08 11:28:00,9.67,9.7,9.7,9.67,256.0
2024-03-08 11:29:00,9.7,9.7,9.7,9.7,424.0
2024-03-08 11:30:00,9.7,9.73,9.73,9.69,282.0
2024-03-08 13:01:00,9.73,9.75,9.76,9.73,570.0
2024-03-08 13:02:00,9.75,9.75,9.77,9.75,289.0
2024-03-08 13:03:00,9.75,9.75,9.76,9.75,236.0
2024-03-08 13:04:00,9.75,9.74,9.75,9.74,113.0
2024-03-08 13:05:00,9.75,9.77,9.78,9.74,449.0
2024-03-08 13:06:00,9.78,9.79,9.79,9.77,405.0
2024-03-08 13:07:00,9.77,9.78,9.78,9.77,146.0
2024-03-08 13:08:00,9.77,9.76,9.77,9.76,169.0
2024-03-08 13:09:00,9.76,9.75,9.76,9.75,797.0
2024-03-08 13:10:00,9.75,9.74,9.75,9.74,1039.0
2024-03-08 13:11:00,9.74,9.73,9.74,9.73,140.0
