time,open,close,high,low,volume
2024-03-11 09:30:00,3.94,3.94,3.94,3.94,604.0
2024-03-11 09:31:00,3.94,3.94,3.96,3.94,963.0
2024-03-11 09:32:00,3.94,3.94,3.95,3.94,323.0
2024-03-11 09:33:00,3.94,3.94,3.95,3.93,204.0
2024-03-11 09:34:00,3.94,3.95,3.95,3.93,348.0
2024-03-11 09:35:00,3.96,3.95,3.96,3.95,180.0
2024-03-11 09:36:00,3.95,3.96,3.96,3.95,72.0
2024-03-11 09:37:00,3.96,3.96,3.96,3.96,52.0
2024-03-11 09:38:00,3.96,3.94,3.96,3.94,301.0
2024-03-11 09:39:00,3.94,3.95,3.95,3.94,63.0
2024-03-11 09:40:00,3.95,3.92,3.95,3.92,485.0
2024-03-11 09:41:00,3.93,3.93,3.94,3.93,158.0
2024-03-11 09:42:00,3.93,3.94,3.94,3.93,180.0
2024-03-11 09:43:00,3.94,3.94,3.94,3.93,50.0
2024-03-11 09:44:00,3.94,3.94,3.94,3.93,254.0
2024-03-11 09:45:00,3.94,3.94,3.94,3.94,53.0
2024-03-11 09:46:00,3.94,3.93,3.94,3.93,205.0
2024-03-11 09:47:00,3.93,3.93,3.93,3.93,103.0
2024-03-11 09:48:00,3.93,3.94,3.94,3.93,150.0
2024-03-11 09:49:00,3.94,3.95,3.95,3.93,338.0
2024-03-11 09:50:00,3.94,3.94,3.94,3.94,397.0
2024-03-11 09:51:00,3.94,3.95,3.96,3.94,2683.0
2024-03-11 09:52:00,3.95,3.95,3.96,3.95,497.0
2024-03-11 09:53:00,3.95,3.96,3.96,3.95,148.0
2024-03-11 09:54:00,3.96,3.95,3.96,3.94,230.0
2024-03-11 09:55:00,3.95,3.94,3.96,3.94,457.0
2024-03-11 09:56:00,3.94,3.94,3.94,3.94,46.0
2024-03-11 09:57:00,3.94,3.95,3.96,3.94,236.0
2024-03-11 09:58:00,3.95,3.95,3.95,3.95,35.0
2024-03-11 09:59:00,3.95,3.95,3.96,3.95,61.0
2024-03-11 10:00:00,3.95,3.95,3.95,3.95,303.0
2024-03-11 10:01:00,3.95,3.95,3.95,3.95,290.0
2024-03-11 10:02:00,3.95,3.94,3.95,3.94,1370.0
2024-03-11 10:03:00,3.94,3.94,3.94,3.94,471.0
2024-03-11 10:04:00,3.94,3.95,3.95,3.94,64.0
2024-03-11 10:05:00,3.95,3.95,3.95,3.94,141.0
2024-03-11 10:06:00,3.95,3.96,3.96,3.95,173.0
2024-03-11 10:07:00,3.96,3.96,3.96,3.95,22.0
2024-03-11 10:08:00,3.96,3.96,3.96,3.95,44.0
2024-03-11 10:09:00,3.95,3.95,3.96,3.95,186.0
2024-03-11 10:10:00,3.95,3.95,3.96,3.95,100.0
2024-03-11 10:11:00,3.95,3.96,3.96,3.95,45.0
2024-03-11 10:12:00,3.95,3.95,3.96,3.95,154.0
2024-03-11 10:13:00,3.95,3.95,3.95,3.95,2.0
2024-03-11 10:14:00,3.95,3.95,3.95,3.95,86.0
2024-03-11 10:15:00,3.95,3.96,3.96,3.95,22.0
2024-03-11 10:16:00,3.96,3.95,3.96,3.95,1.0
2024-03-11 10:17:00,3.95,3.95,3.95,3.95,37.0
2024-03-11 10:18:00,3.95,3.95,3.96,3.95,82.0
2024-03-11 10:19:00,3.96,3.96,3.96,3.95,53.0
2024-03-11 10:20:00,3.96,3.96,3.96,3.95,207.0
2024-03-11 10:21:00,3.96,3.95,3.96,3.95,826.0
2024-03-11 10:22:00,3.96,3.95,3.96,3.95,161.0
2024-03-11 10:23:00,3.95,3.96,3.96,3.95,2.0
2024-03-11 10:24:00,3.95,3.95,3.95,3.95,199.0
2024-03-11 10:25:00,3.95,3.95,3.96,3.95,192.0
2024-03-11 10:26:00,3.95,3.95,3.96,3.95,244.0
2024-03-11 10:27:00,3.95,3.95,3.95,3.95,930.0
2024-03-11 10:28:00,3.95,3.95,3.95,3.95,314.0
2024-03-11 10:29:00,3.95,3.95,3.95,3.95,35.0
2024-03-11 10:30:00,3.95,3.96,3.96,3.95,61.0
2024-03-11 10:31:00,3.96,3.96,3.96,3.95,4.0
2024-03-11 10:32:00,3.96,3.96,3.96,3.95,71.0
2024-03-11 10:33:00,3.95,3.95,3.96,3.95,301.0
2024-03-11 10:34:00,3.95,3.96,3.96,3.95,18.0
2024-03-11 10:35:00,3.95,3.95,3.95,3.95,338.0
2024-03-11 10:36:00,3.95,3.95,3.96,3.94,192.0
2024-03-11 10:37:00,3.95,3.95,3.95,3.95,61.0
2024-03-11 10:38:00,3.95,3.95,3.95,3.95,157.0
2024-03-11 10:39:00,3.95,3.94,3.95,3.94,77.0
2024-03-11 10:40:00,3.96,3.95,3.96,3.95,118.0
2024-03-11 10:41:00,3.95,3.95,3.95,3.95,11.0
2024-03-11 10:42:00,3.95,3.96,3.96,3.95,8.0
2024-03-11 10:43:00,3.96,3.95,3.96,3.95,33.0
2024-03-11 10:44:00,3.95,3.95,3.96,3.95,8.0
2024-03-11 10:45:00,3.95,3.95,3.95,3.95,0.0
2024-03-11 10:46:00,3.95,3.95,3.95,3.95,1.0
2024-03-11 10:47:00,3.95,3.96,3.96,3.95,219.0
2024-03-11 10:48:00,3.96,3.95,3.96,3.95,103.0
2024-03-11 10:49:00,3.95,3.95,3.95,3.95,7.0
2024-03-11 10:50:00,3.95,3.95,3.95,3.95,35.0
2024-03-11 10:51:00,3.95,3.95,3.96,3.95,13.0
2024-03-11 10:52:00,3.95,3.95,3.96,3.95,56.0
2024-03-11 10:53:00,3.95,3.95,3.95,3.95,7.0
2024-03-11 10:54:00,3.95,3.95,3.95,3.95,0.0
2024-03-11 10:55:00,3.95,3.95,3.95,3.95,1.0
2024-03-11 10:56:00,3.95,3.96,3.96,3.95,5.0
2024-03-11 10:57:00,3.95,3.96,3.96,3.95,4.0
2024-03-11 10:58:00,3.96,3.95,3.96,3.95,111.0
2024-03-11 10:59:00,3.95,3.95,3.95,3.95,70.0
2024-03-11 11:00:00,3.95,3.95,3.95,3.95,70.0
2024-03-11 11:01:00,3.95,3.95,3.96,3.95,48.0
2024-03-11 11:02:00,3.95,3.95,3.96,3.95,11.0
2024-03-11 11:03:00,3.95,3.95,3.95,3.95,62.0
2024-03-11 11:04:00,3.95,3.95,3.95,3.95,1.0
2024-03-11 11:05:00,3.95,3.96,3.96,3.95,62.0
2024-03-11 11:06:00,3.96,3.95,3.96,3.95,1.0
2024-03-11 11:07:00,3.95,3.95,3.95,3.95,1.0
2024-03-11 11:08:00,3.95,3.95,3.95,3.95,0.0
2024-03-11 11:09:00,3.95,3.95,3.95,3.95,71.0
2024-03-11 11:10:00,3.95,3.95,3.95,3.95,6.0
2024-03-11 11:11:00,3.95,3.95,3.95,3.95,2.0
2024-03-11 11:12:00,3.95,3.95,3.95,3.95,1.0
2024-03-11 11:13:00,3.95,3.95,3.95,3.95,74.0
2024-03-11 11:14:00,3.95,3.96,3.96,3.95,3.0
2024-03-11 11:15:00,3.96,3.95,3.96,3.95,189.0
