time,open,close,high,low,volume
2024-03-11 09:30:00,4.99,4.99,4.99,4.99,93.0
2024-03-11 09:31:00,4.99,5.01,5.03,4.99,1897.0
2024-03-11 09:32:00,5.01,4.99,5.02,4.99,649.0
2024-03-11 09:33:00,4.99,5.0,5.01,4.99,598.0
2024-03-11 09:34:00,5.0,5.0,5.02,5.0,1050.0
2024-03-11 09:35:00,5.0,5.01,5.02,5.0,421.0
2024-03-11 09:36:00,5.01,5.02,5.02,5.01,396.0
2024-03-11 09:37:00,5.02,5.03,5.03,5.02,1219.0
2024-03-11 09:38:00,5.03,5.02,5.03,5.02,482.0
2024-03-11 09:39:00,5.01,5.01,5.02,5.0,185.0
2024-03-11 09:40:00,5.01,5.0,5.01,5.0,227.0
2024-03-11 09:41:00,5.0,5.0,5.01,5.0,336.0
2024-03-11 09:42:00,5.0,5.01,5.01,5.0,263.0
2024-03-11 09:43:00,5.01,5.01,5.01,5.0,236.0
2024-03-11 09:44:00,5.01,5.02,5.02,5.01,133.0
2024-03-11 09:45:00,5.01,5.02,5.03,5.01,323.0
2024-03-11 09:46:00,5.02,5.01,5.03,5.01,333.0
2024-03-11 09:47:00,5.01,5.01,5.01,5.01,824.0
2024-03-11 09:48:00,5.01,5.01,5.02,5.01,195.0
2024-03-11 09:49:00,5.01,5.02,5.02,5.01,518.0
2024-03-11 09:50:00,5.02,5.01,5.02,5.01,23.0
2024-03-11 09:51:00,5.01,5.02,5.02,5.01,75.0
2024-03-11 09:52:00,5.01,5.02,5.02,5.01,64.0
2024-03-11 09:53:00,5.02,5.02,5.02,5.01,14.0
2024-03-11 09:54:00,5.02,5.01,5.02,5.01,5.0
2024-03-11 09:55:00,5.01,5.0,5.01,5.0,429.0
2024-03-11 09:56:00,5.0,5.0,5.0,5.0,14.0
2024-03-11 09:57:00,5.0,5.0,5.0,5.0,388.0
2024-03-11 09:58:00,4.99,5.0,5.0,4.99,344.0
2024-03-11 09:59:00,5.0,4.99,5.0,4.99,34.0
2024-03-11 10:00:00,4.99,4.99,5.0,4.99,187.0
2024-03-11 10:01:00,4.99,4.99,4.99,4.99,240.0
2024-03-11 10:02:00,4.99,4.97,4.99,4.97,423.0
2024-03-11 10:03:00,4.97,4.98,4.98,4.97,35.0
2024-03-11 10:04:00,4.98,4.97,4.98,4.97,540.0
2024-03-11 10:05:00,4.97,4.99,4.99,4.97,299.0
2024-03-11 10:06:00,4.99,5.0,5.0,4.99,130.0
2024-03-11 10:07:00,4.99,5.0,5.0,4.99,43.0
2024-03-11 10:08:00,5.0,5.0,5.0,5.0,0.0
2024-03-11 10:09:00,5.0,5.0,5.0,4.99,76.0
2024-03-11 10:10:00,5.0,4.99,5.0,4.99,10.0
2024-03-11 10:11:00,4.99,5.0,5.0,4.99,547.0
2024-03-11 10:12:00,5.0,5.01,5.01,5.0,67.0
2024-03-11 10:13:00,5.01,5.01,5.01,5.0,528.0
2024-03-11 10:14:00,5.02,5.02,5.02,5.02,48.0
2024-03-11 10:15:00,5.02,5.01,5.02,5.01,103.0
2024-03-11 10:16:00,5.01,5.0,5.01,5.0,757.0
2024-03-11 10:17:00,5.0,5.01,5.01,5.0,3.0
2024-03-11 10:18:00,5.01,5.01,5.01,5.0,25.0
2024-03-11 10:19:00,5.01,5.01,5.01,5.01,168.0
2024-03-11 10:20:00,5.01,5.01,5.01,5.01,127.0
2024-03-11 10:21:00,5.0,5.0,5.0,5.0,335.0
2024-03-11 10:22:00,5.0,5.01,5.01,5.0,137.0
2024-03-11 10:23:00,5.01,5.01,5.01,5.01,10.0
2024-03-11 10:24:00,5.0,5.0,5.0,5.0,15.0
2024-03-11 10:25:00,5.0,5.01,5.01,5.0,28.0
2024-03-11 10:26:00,5.0,5.01,5.01,5.0,574.0
2024-03-11 10:27:00,5.01,5.01,5.01,5.01,59.0
2024-03-11 10:28:00,5.0,5.0,5.0,5.0,16.0
2024-03-11 10:29:00,5.0,5.01,5.01,5.0,63.0
2024-03-11 10:30:00,5.01,5.01,5.01,5.0,29.0
2024-03-11 10:31:00,5.01,5.0,5.01,5.0,20.0
2024-03-11 10:32:00,5.0,5.01,5.01,5.0,141.0
2024-03-11 10:33:00,5.01,5.02,5.02,5.01,13.0
2024-03-11 10:34:00,5.02,5.02,5.02,5.02,10.0
2024-03-11 10:35:00,5.02,5.01,5.02,5.01,41.0
2024-03-11 10:36:00,5.01,5.01,5.02,5.01,57.0
2024-03-11 10:37:00,5.01,5.01,5.01,5.01,325.0
2024-03-11 10:38:00,5.01,5.0,5.01,5.0,23.0
2024-03-11 10:39:00,5.0,5.0,5.0,5.0,41.0
2024-03-11 10:40:00,5.0,5.01,5.01,5.0,19.0
2024-03-11 10:41:00,5.01,5.01,5.01,5.0,165.0
2024-03-11 10:42:00,5.01,5.02,5.02,5.01,481.0
2024-03-11 10:43:00,5.02,5.02,5.02,5.02,0.0
2024-03-11 10:44:00,5.02,5.02,5.02,5.02,32.0
2024-03-11 10:45:00,5.02,5.02,5.02,5.02,133.0
2024-03-11 10:46:00,5.02,5.03,5.03,5.02,555.0
2024-03-11 10:47:00,5.03,5.03,5.03,5.02,800.0
2024-03-11 10:48:00,5.03,5.03,5.03,5.02,7.0
2024-03-11 10:49:00,5.03,5.03,5.03,5.03,26.0
2024-03-11 10:50:00,5.03,5.02,5.03,5.02,483.0
2024-03-11 10:51:00,5.02,5.02,5.02,5.02,185.0
2024-03-11 10:52:00,5.02,5.02,5.02,5.02,164.0
2024-03-11 10:53:00,5.02,5.01,5.02,5.01,2.0
2024-03-11 10:54:00,5.01,5.01,5.01,5.01,0.0
2024-03-11 10:55:00,5.01,5.01,5.01,5.01,92.0
2024-03-11 10:56:00,5.01,5.01,5.01,5.01,52.0
2024-03-11 10:57:00,5.01,5.01,5.01,5.01,12.0
2024-03-11 10:58:00,5.01,5.01,5.01,5.01,153.0
2024-03-11 10:59:00,5.01,5.01,5.01,5.01,139.0
2024-03-11 11:00:00,5.01,5.0,5.01,5.0,648.0
2024-03-11 11:01:00,5.0,5.0,5.0,5.0,25.0
2024-03-11 11:02:00,5.0,5.0,5.0,5.0,11.0
2024-03-11 11:03:00,5.0,5.0,5.0,5.0,5.0
2024-03-11 11:04:00,5.0,5.0,5.0,5.0,68.0
2024-03-11 11:05:00,5.0,5.02,5.02,5.0,782.0
2024-03-11 11:06:00,5.02,5.01,5.02,5.01,216.0
2024-03-11 11:07:00,5.01,5.01,5.01,5.01,0.0
2024-03-11 11:08:00,5.01,5.01,5.01,5.01,0.0
2024-03-11 11:09:00,5.01,5.02,5.02,5.01,1.0
2024-03-11 11:10:00,5.02,5.02,5.02,5.02,58.0
2024-03-11 11:11:00,5.02,5.02,5.02,5.02,31.0
2024-03-11 11:12:00,5.02,5.02,5.02,5.02,30.0
2024-03-11 11:13:00,5.01,5.01,5.01,5.01,16.0
2024-03-11 11:14:00,5.01,5.01,5.01,5.01,3.0
2024-03-11 11:15:00,5.02,5.03,5.03,5.02,1146.0
2024-03-11 11:16:00,5.03,5.03,5.03,5.02,283.0
2024-03-11 11:17:00,5.03,5.03,5.03,5.03,21.0
2024-03-11 11:18:00,5.03,5.03,5.03,5.02,333.0
2024-03-11 11:19:00,5.03,5.03,5.03,5.03,77.0
2024-03-11 11:20:00,5.03,5.03,5.03,5.03,11.0
2024-03-11 11:21:00,5.03,5.03,5.03,5.03,15.0
2024-03-11 11:22:00,5.03,5.03,5.03,5.03,172.0
2024-03-11 11:23:00,5.03,5.03,5.03,5.03,40.0
2024-03-11 11:24:00,5.03,5.03,5.03,5.03,115.0
2024-03-11 11:25:00,5.03,5.03,5.04,5.03,238.0
2024-03-11 11:26:00,5.03,5.03,5.03,5.03,40.0
2024-03-11 11:27:00,5.03,5.04,5.04,5.03,113.0
2024-03-11 11:28:00,5.04,5.04,5.04,5.04,361.0
2024-03-11 11:29:00,5.04,5.04,5.04,5.04,2.0
2024-03-11 11:30:00,5.04,5.02,5.04,5.02,248.0
2024-03-11 13:01:00,5.02,5.04,5.04,5.02,112.0
2024-03-11 13:02:00,5.04,5.04,5.04,5.04,23.0
2024-03-11 13:03:00,5.04,5.03,5.04,5.03,99.0
2024-03-11 13:04:00,5.03,5.02,5.03,5.02,22.0
2024-03-11 13:05:00,5.02,5.02,5.02,5.02,10.0
2024-03-11 13:06:00,5.02,5.03,5.03,5.02,2.0
2024-03-11 13:07:00,5.03,5.02,5.03,5.02,4.0
2024-03-11 13:08:00,5.02,5.04,5.04,5.02,127.0
2024-03-11 13:09:00,5.04,5.04,5.04,5.04,59.0
2024-03-11 13:10:00,5.04,5.05,5.05,5.04,51.0
2024-03-11 13:11:00,5.05,5.04,5.05,5.04,16.0
2024-03-11 13:12:00,5.04,5.04,5.04,5.04,73.0
2024-03-11 13:13:00,5.04,5.04,5.04,5.04,0.0
